clase	gismu	
70	valsi	x_1 は x_2 （意味／効力）を有する、 x_3 （言語）の言葉／語彙
70	gismu	x_1 （文字列）は x_2 （意味関係）を x_3 （項）について表す、 x_4 （形態素）からなる語根
70	lujvo	x_1 （文字列）は x_2 （意味）・ x_3 （項）を有する、 x_4 （形態素）から作られた合成語・複合語
70	rafsi	x_1 （文字列）は x_2 （語）の x_3 （部位／性質）に由来する、 x_4 （言語）の形態素／語基／語幹／接辞
70	sinxa	x_1 は x_2 （意味／指示対象）の、 x_3 （者）にたいする記号／表象／象形／象徴／サイン／シンボル
70	pixra	x_1 は x_2 （主題）・ x_3 （作者）・ x_4 （媒体）の絵／画／写真／造形； x_3 は x_2 を描いて x_1 を創る
70	cartu	x_1 は x_2 に関する、 x_3 （特性）の図表／見取り図／図式／地図／ダイヤグラム／グラフ／予定表
70	lanci	x_1 は x_2 を象徴する、 x_3 （模様）・ x_4 （素材）の旗
70	mifra	x_1 は x_2 （元の文字列）が x_3 （暗号体系）によって符号化されたもの； x_1 は暗号
70	fatne	x_1 （順序）は x_2 （順序）と逆； x_1 （物）は x_2 （物）の逆さま
70	fukpi	x_1 は x_2 （対象）の、 x_3 （媒体／形態）への、 x_4 （方法）による複製／コピー／レプリカ／クローン
70	krefu	x_1 （事）は x_2 （事）の x_3 （数）度目の繰り返し／再発； x_2 は繰り返す
70	saclu	x_1 （数）は x_2 （分数）・ x_3 （底）の小数
80 Total	gleki	x_1 は x_2 （事）に関して嬉しい／幸せ／幸福／上機嫌
80	salci	x_1 は x_2 （事）を x_3 （行動）で祝う／礼拝する
80	zanru	x_1 は x_2 （物／事）を容認／承認／是認する
80	manci	x_1 は x_2 に畏敬の念を感じる／驚嘆する； x_1 は x_2 を摩訶不思議に思う
80	gleki	x_1 は x_2 （事）に関して嬉しい／幸せ／幸福／上機嫌
80	badri	x_1 は x_2 （事）について悲しい／落胆している； x_2 は x_1 を悲しませる
80	dunku	x_1 は x_2 （事）について苦悩／苦悶する
80	xanka	x_1 は x_2 （事）について緊張／心配する； x_1 は x_2 が不安
80	xalni	x_1 （者）は x_2 （事）に関して慌てる／恐慌する／狼狽する／パニック状態にある
80	terpa	x_1 は x_2 を恐れる／怖がる／に怯える； x_2 は x_1 をぎょっとさせる／脅す
80	steba	x_1 は x_2 （事）について挫折／ストレスを感じる
80	zungi	x_1 は x_2 （事）について良心の呵責／罪悪を感じる
80	xenru	x_1 は x_2 （事）を後悔する； x_1 は x_2 を残念に思う
80	kufra	x_1 は x_2 （環境性質）について快適／心地良さを感じる
80	burna	x_1 は x_2 （状況）においてどぎまぎする／緊張する／落ち着かない／きまりの悪さを感じる／当惑する
80	jgira	x_1 （者）は x_2 （事）について誇る／誇りがある； x_1 はプライドが高い
80	ckeji	x_1 は x_2 （事）について x_3 （公衆）にたいする恥ずかしさ／引け目を感じる
80	cumla	x_1 は x_2 （事）に関して謙虚／穏当／謙遜している／慎ましい／控えめ／腰が低い
80	sinma	x_1 は x_2 を尊重・尊敬する； x_2 は尊い
80	prami	x_1 は x_2 を愛する／にたいして愛情が湧く
80	nelci	x_1 は x_2 （物／事）を好む／好き／気に入っている
80	xebni	x_1 は x_2 （物／者／事）を憎む； x_1 は x_2 にたいする怨恨を抱いている； x_2 は憎らしい
80	jilra	x_1 （者）は x_2 （者）に x_3 （性質）に関して嫉妬する／妬む／そねむ； x_2 はうらやましい
80	ckire	x_1 （者）は x_2 （者）に x_3 （事／性質）を感謝する； x_2 が x_3 をしたことについて x_1 はありがたく思う； x_3 であることはありがたい
80	kecti	x_1 は x_2 を x_3 （事）について哀れむ／慈しむ／かわいそうだと思う； x_1 は慈悲的
80	fengu	x_1 は x_2 （者）にたいして x_3 （事／性質）について憤慨している／怒っている
80	fraxu	x_1 は x_2 を x_3 （事）について許す／容赦する
80	cinmo	x_1 は x_2 （感情）を x_3 について覚える； x_1 は感情的／ムードに浸っている
80	cortu	x_1 （者）は x_2 （箇所）に痛みを感じる； x_2 が痛い
200 Total	cukla	x_1 は（二次元的に）円い； x_1 は円／ディスク
200	plana	x_1 は x_2 （基準）において太っている／肥満／でぶ
200	viknu	x_1 は x_2 （条件）で粘性がある／ねばねばしている
200	kinli	x_1 は x_2 （箇所）において鋭い
200	cukla	x_1 は（二次元的に）円い； x_1 は円／ディスク
200	kurfa	x_1 は x_2 （頂角）・ x_3 （次元／面）の四角形／長方形
200	kubli	x_1 は x_2 （次元）・ x_3 （面）の立方体／多面体／多角形／多辺形／ポリゴン
200	jganu	x_1 は x_2 （頂角）・ x_3 （辺）による角度； x_1 は角張っている
200	sarlu	x_1 は x_2 （端／たん）・ x_3 （次元）の螺旋／渦巻き
200	galtu	x_1 は x_2 （照合枠）・ x_3 （基点）において高い
200	dizlo	x_1 は x_2 （照合枠）・ x_3 （基点）において低い
200	rufsu	x_1 は粗い／ざらざら／ごわごわ
200	xutla	x_1 は x_2 （性質）に関して滑らか／すべすべ／つるうるしている
200	tilju	x_1 は x_2 （基準／観点）において重い
200	linto	x_1 は x_2 （基準）において軽い／軽量
200	glare	x_1 は x_2 （基準）において熱い／暖かい／温い
200	lenku	x_1 は x_2 （基準）において冷たい／涼しい
200	sraji	x_1 は x_2 （照合枠）において縦／垂直
200	pinta	x_1 は x_2 （基準）において水平
200	salpo	x_1 は x_2 （角度）で x_3 （基準線）にたいして傾斜している／勾配がある
200	sfofa	x_1 はソファ／カウチ
200	stizu	x_1 は椅子／腰掛／ベンチ
200	senci	x_1 はくしゃみする
200	frumu	x_1 は x_2 （者／事）に対してしかめつらをする／まゆを寄せる／難色を示す； x_1 はしかめつら
200	cisma	x_1 はほほえむ／にやつく
200	cmila	x_1 は笑う／笑い声をあげる
200	mucti	x_1 は非物質的／無形／形而上的
200	dacti	x_1 は時空間内の存在／物体； x_1 は物
200	panje	x_1 はスポンジ状／多孔性
200	djacu	x_1 は水； x_1 は水溶性／含水の
200	snime	x_1 は雪／雪原
200	cakla	x_1 は x_2 （種類）のチョコレート／ココア
200	matli	x_1 はリンネル／亜麻布
200	mapni	x_1 は綿／コットン
200	rijno	x_1 は銀（Ag）
200	nikle	x_1 はニッケル（Ni）
200	tunka	x_1 は銅（Cu）
200	margu	x_1 は水銀／Hg
200	zinki	x_1 は亜鉛（Zn）
200	tinci	x_1 はスズ（Sn）
200	sliri	x_1 は硫黄（S）
200	kijno	x_1 は酸素（O）
200	trano	x_1 は窒素（N）
200	cnisa	x_1 は鉛／Pb
200	tirse	x_1 は鉄（Fe）
200	navni	x_1 は x_2 （元素）の貴ガス
200	cidro	x_1 は水素（H）
200	kliru	x_1 は x_2 （種類）のハロゲン／造塩元素（塩素／フッ素／ヨウ素／臭素）
200	solji	x_1 は金物質（Au）
200	tabno	x_1 は炭素（C）
200	sodna	x_1 は x_2 （種類）のアルカリ金属（リチウム／ナトリウム／カリウム／ルビジウム／セシウム／フランシウム）
200	ratni	x_1 は x_2 （原子番号）・ x_3 （原子量）の元素
200	prenu	x_1 は（心理学上の）人； x_1 は人格を有する
200	remna	x_1 は生物学的ヒト／ホモサピエンス
200	nanmu	x_1 は男（の人）
200	ninmu	x_1 は女（の人）
200	verba	x_1 は x_2 （年齢）の、 x_3 （観点）での子供
200	nanla	x_1 は x_2 （年齢）・ x_3 （基準）の少年／未成熟の男
200	nixli	x_1 は x_2 （年齢）・ x_3 （基準）の少女／未成熟の女
200	manku	x_1 は暗い／闇
200	pelxu	x_1 は黄色
200	blabi	x_1 は白色
200	xunre	x_1 は赤色／クリムゾン
200	zirpu	x_1 は紫色／パープル
200	narju	x_1 は橙色／オレンジ色
200	nukni	x_1 は深紅色／マゼンタ
200	crino	x_1 は緑色
200	grusi	x_1 は灰色／グレー
200	cicna	x_1 は青緑色／シアン／ターコイズ
200	bunre	x_1 は茶色／黄褐色／小麦色
200	blanu	x_1 は青色
200	xekri	x_1 は黒色
200	fasnu	x_1 は事／出来事／事件／事象／現象； x_1 は起こる／生じる／発生する
200	cfari	x_1 （事／状態）は始まる／開始する
200	bikla	x_1 はビュッと動く／パチッとする
200	vlile	x_1 （事／行為）は暴力／暴力的
200	cafne	x_1 （事）は x_2 （基準）において頻繁／しょっちゅう／頻発する／よくある
200	cunso	x_1 は x_2 （条件）において確率分布 x_3 で無原則／無作為／ランダム／でたらめ
200	lakne	x_1 （事）は x_2 （条件）でありうる／起こりうる／蓋然的
200	cumki	x_1 （事）は x_2 （条件）においてありえる／可能； x_1 は可能性
200	clira	x_1 （事）は x_2 （照合枠）において早い
200	lerci	x_1 （事）は x_2 （基準）において時期的／時刻的に遅い
200	rarna	x_1 は自然／天然／本能的／自発的
200	rutni	x_1 は人工物； x_1 は人為的
200	cilce	x_1 は野生
200	vifne	x_1 は新鮮／新品状態
200	citno	x_1 は x_2 （基準）において若い
200	lunbe	x_1 は裸／服無し
200	pruni	x_1 は弾性がある／柔らかい／伸縮可能
200	korcu	x_1 は歪んでいる／ねじれている
200	jmive	x_1 は x_2 （観点／基準）において生きている； x_1 は生物／生体／有機体
200	morsi	x_1 は死んでいる／生が無い
200	kanro	x_1 は x_2 （基準）において健康／すこやか
200	bilma	x_1 は x_2 （症状）の x_3 （病）を患っている
200	cando	x_1 は無動作／怠惰／怠けている／アイドリング状態
200	cikna	x_1 は目覚めている
200	sipna	x_1 は寝ている； x_1 は眠る
300 Total	tutci	x_1 は x_2 （目的）のための道具／用具／器具
300	spofu	x_1 は x_2 （機能）に関して故障している／使用不可能
300	macnu	x_1 （事）は x_2 （機能）に関して手動／マニュアル
300	zmiku	x_1 は x_2 （機能）に関して x_3 （条件）で自動
300	tutci	x_1 は x_2 （目的）のための道具／用具／器具
300	cabra	x_1 は x_2 （機能）・ x_3 （操縦者）の装置／デバイス
300	minji	x_1 は x_2 （機能／用途）の機械
300	pulni	x_1 は x_2 （機能／動作）の、 x_3 （軸）を回る滑車装置
300	vraga	x_1 は x_2 （機能）・ x_3 （支点／台）のてこ／レバー／バール
300	smuci	x_1 は x_2 （用途）・ x_3 （素材）のスプーン／さじ／ひしゃく
300	forca	x_1 は x_2 （目的）・ x_3 （分岐物／歯）のフォーク／くま手／またぐわ
300	vidni	x_1 は画面／映像モニター／スクリーン
300	molki	x_1 は x_2 （生産過程）に携わる製造場／製錬場／鋳造場
300	dinju	x_1 は x_2 （目的）のための建造物
300	burcu	x_1 は x_2 （用途）・ x_3 （毛状物）のブラシ／はけ／モップ／毛筆
300	skami	x_1 は x_2 （目的／機能）のコンピュータ
300	klupe	x_1 は x_2 （目的）のためのねじ／ボルト
300	tsapi	x_1 は x_2 （性質）の調味料／香辛料／薬味／味付／スパイス
300	toknu	x_1 は x_2 を焼く／熱する／乾かすためのオーブン／かまど／天火／乾燥機／炉
300	canpa	x_1 は x_2 （用途／掘る対象）のシャベル
300	mruli	x_1 は x_2 （対象）を叩くための、 x_3 （頭部）の槌／ハンマー
300	xarci	x_1 は x_2 （対象）・ x_3 （使用者）の武器／武具／兵器
300	pambe	x_1 は x_2 （内容）を x_3 に x_4 から x_5 （方法）で送るポンプ／揚水器
300	garna	x_1 は x_2 を支える／抑える、 x_3 （素材）のレール／線路／横木／手すり／軌条／バー
300	kajna	x_1 は x_2 （物）のための棚／カウンター
300	zbepi	x_1 は x_2 （対象／事象）を支える、材質／性質 x_3 の土台／基礎／スタンド／台座
300	dakfu	x_1 は x_2 （用途）・ x_3 （素材）のナイフ／包丁／刀／剣
300	jinci	x_1 は x_2 を切る（ための）ハサミ／裁断機／刈り込み機
300	pijne	x_1 は x_2 （物）を留める、 x_3 （素材／性質）の鋲／ピン杭
300	ckiku	x_1 は x_2 （錠）・ x_3 （特性）の鍵
300	stela	x_1 は x_2 を x_3 （仕組）で封じる錠／ロック
300	gacri	x_1 は x_2 の覆い／蓋／カバー； x_1 は x_2 に被さっている
300	murta	x_1 は x_2 を遮る／隠す、 x_3 （素材）のカーテン／窓掛け／ブラインド／幕／どんちょう
300	marbi	x_1 は x_2 を x_3 （危険／脅威）から護る保護施設／避難所／シェルター
300	kicne	x_1 は x_2 のための、 x_3 （素材）のクッション／座布団； x_1 は x_2 を x_3 で緩衝する
300	santa	x_1 は x_2 を x_3 から護る、 x_4 （素材）・ x_5 （支え）の傘
300	jinku	x_1 は x_2 を x_3 （病気／疾病／疾患）から x_4 （接種方法）によって護るワクチン／痘苗／血清／予防接種
300	karli	x_1 は x_2 を取り巻く、 x_3 （素材）の襟／ベルト部
300	bargu	x_1 は x_2 に掛かる／を縁取る x_3 （素材）のアーチ
300	sanso	x_1 は x_2 （用途）・ x_3 （成分）のソース／トッピング／グレイビー／糖衣
300	kacma	x_1 は x_2 （光学的対象）を x_3 （媒体）に記録するカメラ
300	pinsi	x_1 は x_2 （素材）の鉛筆／クレヨン
300	ckilu	x_1 は x_2 （性質）を測るための単位／尺度
300	penbi	x_1 は x_2 （インク）の、手順 x_3 に従って使われるペン・筆
300	jbama	x_1 は x_2 （爆薬／爆発方法）による爆弾； x_1 には爆発性がある
300	falnu	x_1 は x_2 を集めて x_3 （乗物）が航行／帆走するための帆
300	junla	x_1 は x_2 （時間単位）を x_3 （精度）・ x_4 （方法）で計測する時計／計時器具
300	jgita	x_1 は x_2 （特性）の弦楽器
300	xagri	x_1 は x_2 （簧／リード）の木管楽器／金管楽器／オーボエ／クラリネット／サクソフォーン
300	damri	x_1 は x_2 （ばち）による打楽器（太鼓／ドラムス／シンバル）
300	tabra	x_1 は金管楽器／ホルン／トランペット／トロンボーン／喇叭（ラッパ）
300	flani	x_1 は簧（した／リード）を用いない木管楽器／フルート／横笛／リコーダー
300	pipno	x_1 は鍵盤楽器（ピアノ／ハープシコード／シンセサイザー／オルガン）
400 Total	bolci	x_1 は x_2 （素材）の球体／ボール； x_1 は丸い
400	bolci	x_1 は x_2 （素材）の球体／ボール； x_1 は丸い
400	dirgo	x_1 は x_2 （物質）の雫／滴
400	tapla	x_1 は x_2 （素材）・ x_3 （形状）・ x_4 （厚さ）の瓦／タイル
400	cilta	x_1 は x_2 （素材）の糸／繊維／ワイヤー
400	skori	x_1 は x_2 （素材）の縄／コード／ケーブル／ロープ／より糸
400	cfine	x_1 は角柱／くさび形
400	boxfo	x_1 は材質 x_2 のシート状のもの；3次元空間内の、ほぼ2次元の柔軟な物体；枚
400	romge	x_1 は x_2 （金属）のクロムめっき
400	grana	x_1 は x_2 （素材）の杖／さお／ステッキ／ロッド
400	djine	x_1 は x_2 （内直径）・ x_3 （外直径）の環／輪／円； x_1 は環状／円環面状
400	dasri	x_1 は x_2 （素材）のリボン／テープ／帯
400	jesni	x_1 は x_2 （素材）の針
400	karda	x_1 は x_2 （素材）・ x_3 （形状）のカード／札
400	matci	x_1 は x_2 （素材）の敷物／マット／むしろ／ござ／たたみ
400	clupa	x_1 は回路／循環系／ループ
400	tubnu	x_1 は x_2 （素材）・ x_3 （内容）の管／筒／パイプ／シリンダー／チューブ
400	linsi	x_1 は x_2 （素材）・ x_3 （特性）の鎖／チェーン
400	senta	x_1 は x_2 （素材）・ x_3 （構造）の層／レイヤー
400	snuji	x_1 は x_2 （中身）・ x_3 （挟む物）のサンドイッチ
400	genxu	x_1 は x_2 （素材）の鉤／留め金／ホック
400	foldi	x_1 は x_2 （物質）の地帯／地域
400	slanu	x_1 は x_2 （素材）の筒／円柱
400	konju	x_1 は x_2 を頂点とする錐／円錐
400	komcu	x_1 は x_2 （素材）・ x_3 （針状物）からなる櫛／梳き具
400	kamju	x_1 は x_2 （素材）の柱／支柱
400	tanbo	x_1 は x_2 （素材）の板
400	bliku	x_1 は x_2 （素材）の立体物／塊／ブロック
400	ckana	x_1 は x_2 （素材）の、 x_3 （者／物／事）を支えるための寝台／ベッド
400	bidju	x_1 は x_2 （素材）の数珠／ビーズ
400	purmo	x_1 は x_2 （物質）の粉
400	dilnu	x_1 は x_2 （物質）・ x_3 （大気成分）・ x_4 （層）の雲
400	jetce	x_1 は x_2 （物質）・ x_3 （噴射機構）のジェット／噴出／噴射
400	flecu	x_1 は x_2 の／における、 x_3 （終点）へ x_4 （始点）からの流れ； x_2 は流れる
400	jinto	x_1 は x_2 （液体）・ x_3 （所）の井戸／（石油／天然ガスの）井／泉／鉱泉／温泉
400	jubme	x_1 は x_2 （素材）・ x_3 （脚／柱／台座）の机／テーブル／台
400	mapku	x_1 は x_2 （素材）の帽子／冠／兜／ヘルメット
400	creka	x_1 は x_2 （素材）の上着／トップス
400	gluta	x_1 は手袋／グローブ／ミトン
400	skaci	x_1 は x_2 （素材）のスカート／キルト
400	palku	x_1 は x_2 （素材）のズボン／スラックス／パンツ（女性用）
400	pastu	x_1 は（素材）のローブ／チュニック／ガウン
400	kosta	x_1 は x_2 （素材）のコート／ジャケット／マント
400	smoka	x_1 は x_2 （素材）の靴下／ストッキング／タイツ
400	cutci	x_1 は x_2 （足／ひづめ）を覆う／守るための x_3 （素材）の靴
400	jmifa	x_1 は x_2 （物質）・ x_3 （所）の岩礁／浅瀬／州／砂州
400	daplu	x_1 は x_2 （特性）の島／環礁； x_1 は島国的
400	sacki	x_1 は x_2 （素材／仕組）による発火装置
400	sigja	x_1 は x_2 （葉／物質）の巻きタバコ／葉巻／シガー
400	dinko	x_1 は x_2 （素材）・ x_3 （特性）の鋲／釘
400	jemna	x_1 は x_2 （種類）・ x_3 （原石資源／起源）の宝石
400	patxu	x_1 は x_2 （内容）・ x_3 （素材）の壷／鉢／かめ／やかん／ポット
400	palta	x_1 は x_2 （素材）の皿
400	palne	x_1 は x_2 （内容）・ x_3 （素材）の盆／トレイ
400	dakli	x_1 は x_2 （内容）・ x_3 （素材）の鞄／バッグ／リュックサック
400	tansi	x_1 は x_2 （内容）・ x_3 （素材）のたらい／水ばち／水盤／流し
400	kabri	x_1 は x_2 （内容）・ x_3 （素材）のコップ／カップ／タンブラー／マグ／茶碗／杯
400	lante	x_1 は x_2 （生鮮物）を詰めた、 x_3 （素材）の缶容器
400	baktu	x_1 は x_2 （内容）・ x_3 （素材）のバケツ／桶／槽
400	tanxe	x_1 は x_2 （内容）・ x_3 （素材）の箱／カートン
400	botpi	x_1 は x_2 （内容）・ x_3 （素材）・ x_4 （栓／蓋）の瓶／ボトル／水筒
400	lanka	x_1 は x_2 （内容）・ x_3 （素材）のかご／ざる
400	zdani	x_1 は x_2 の（ための）巣／家／ねぐら／アジト
400	ginka	x_1 は x_2 （居住者）・ x_3 （所）の野営／キャンプ／仮設住居
400	briju	x_1 は x_2 （従業員）・ x_3 （所）の職場／事務所／営業所／局
400	muzga	x_1 は x_2 を保存する（展示することもある） x_3 （所）の博物館／美術館
400	marce	x_1 は x_2 を x_3 （媒体）・ x_4 （原動力）で運ぶ輸送機関／乗物
400	bloti	x_1 は x_2 （客／荷）・ x_3 （原動力）の船／ボート
400	vinji	x_1 は x_2 （荷／乗客）・ x_3 （原動力）の飛行機／航空機／飛行船
400	carce	x_1 は x_2 （荷）を運ぶ、 x_3 （原動力）による荷車／小型運搬車／手押し車／農耕車／ショッピングカート
400	karce	x_1 は x_2 （客／荷）・ x_3 （原動力）の車
400	skiji	x_1 は x_2 （表面）を x_3 （者／荷）が滑るためのスキー板／そり／スケート
400	zarci	x_1 は x_2 （取引品）・ x_3 （営者）の店／市場
500 Total	dargu	x_1 は x_2 （終点）・ x_3 （起点）・ x_4 （経路）の道路／車道
500	temci	x_1 は x_2 （時点）から x_3 （時点）までの間隔／経過／時間
500	sirji	x_1 は x_2 ・ x_3 の間でまっすぐ／直線的／直接的
500	lindi	x_1 は x_2 （終点）・ x_3 （起点）の雷／稲妻
500	bitmu	x_1 は x_2 ・ x_3 を隔てる、 x_4 （構造体）の壁／垣／塀／フェンス
500	vorme	x_1 は x_2 ・ x_3 間の、 x_4 （構造体）の扉／戸口／出入口／門戸／ドア
500	kalri	x_1 は x_2 （経路）にたいして開いている
500	ganlo	x_1 は x_2 （経路）にたいして閉まっている
500	pluta	x_1 は x_2 （終点）・ x_3 （起点）・ x_4 （途中の点の集合）の経路／道筋
500	dargu	x_1 は x_2 （終点）・ x_3 （起点）・ x_4 （経路）の道路／車道
500	naxle	x_1 は x_2 （終点）・ x_3 （起点）・ x_4 （経路）の運河／海峡
500	cripu	x_1 は x_2 をまたぐ、 x_3 と x_4 の間の橋／渡り間
500	klaji	x_1 は x_2 （所）における、 x_3 につながる街路／通り／回廊
500	pruce	x_1 は、 x_2 （入力）・ x_3 （出力）・ x_4 （段階）の過程／プロセス
500	fancu	x_1 は x_2 （変域／定義域）・ x_3 （値域）・ x_4 （式／表現）の関数
500	tumla	x_1 は x_2 （位置）における陸／大地の広がり
500	cmana	x_1 は x_2 から突き出ている山
500	lalxu	x_1 は x_2 （所）の湖／池／水たまり
500	xamsi	x_1 は x_2 （領域／惑星）・ x_3 （液体成分）の海／海洋
500	rirxe	x_1 は x_2 （土地）の x_3 （流域）が x_4 （河口）に流れる河川
500	zbani	x_1 は x_2 （所）の沿岸／海岸／湖岸／入江／湾
500	vacri	x_1 は x_2 （領域／惑星）・ x_3 （成分）の空気／大気
500	tsani	x_1 は x_2 （所）の空／天空
500	tcima	x_1 は x_2 （所／地域）の気象／気候／天候／天気
500	kensa	x_1 は x_2 （天体／領域）の宇宙空間
500	lunra	x_1 は地球の月； x_1 は x_2 の主要衛星
500	solri	x_1 は x_2 （惑星）の太陽／恒星
500	tsina	x_1 は x_2 （所）・ x_3 （支持対象）・ x_4 （素材）の壇／ステージ
500	ckule	x_1 は x_2 （所）で x_3 （科目）を x_4 （聴衆）に教える、 x_5 （者）によって営まれている教育機関／学習施設
500	cange	x_1 は x_2 （所）・ x_3 （責任者）・ x_4 （作物）の田畑／農場／農園／養殖場／飼育場／牧場
500	xotli	x_1 は x_2 （所）・ x_3 （営業者）の旅館／ホテル／宿屋／宿泊所
500	fagri	x_1 は x_2 （燃料）・ x_3 （酸化料）による火／炎
500	dikca	x_1 は x_2 （媒体）・ x_3 （特性）の電気
500	prina	x_1 は x_2 （媒体）・ x_3 （装置）による印刷物／プリント
500	kenra	x_1 は x_2 （箇所）の癌
500	slaka	x_1 は x_2 （言語）における音節
600 Total	cmima	x_1 は x_2 （集合）の成員／メンバー； x_1 は x_2 に属する
600	cmima	x_1 は x_2 （集合）の成員／メンバー； x_1 は x_2 に属する
600	mei	x_1 は x_2 の、 x_3 （性質）におけるメガ／百万 ［1 x_1 0**6］
600	moi	x_1 は x_2 を周回する、 x_3 （衛星特性）・ x_4 （軌道特性）の衛星
600	mokca	x_1 は x_2 （時間／空間）における点； x_1 は0次元
600	sonci	x_1 は x_2 （隊）の戦士／兵士／闘士
600	lerfu	x_1 は x_2 （文字体系）において x_3 を表す字（文字／数字）
600	cmavo	x_1 （文字列）は x_2 （品詞）・ x_3 （意味／機能）・ x_4 （言語）の機能語
600	fonxa	x_1 は x_2 （システム／ネットワーク）の電話端末／モデム
600	tcana	x_1 は x_2 （交通／コミュニケーション／配給のネットワーク）の駅／局／ノード
600	xukmi	x_1 は x_2 （成分）・ x_3 （純度）の化学製品／化学物質
600	mavji	x_1 は x_2 （品種）のカラスムギ粒（オート／エンバク等）
600	cunmi	x_1 は x_2 （品種）のキビ粒
600	zumri	x_1 は x_2 （品種）のトウモロコシ粒
600	marna	x_1 は x_2 （種類）の麻／大麻／マリファナ
600	sunga	x_1 は x_2 （種類）のニンニク
600	nimre	x_1 は x_2 （種）のかんきつ類／ミカン属
600	samcu	x_1 は x_2 （種類）のキャッサバ／タロイモ／ヤムイモ
600	kobli	x_1 は x_2 （種類）の葉菜
600	xruba	x_1 は x_2 （種類）のタデ科植物（ソバ／ルバーブ）
600	bavmi	x_1 は x_2 （品種）のオオムギ粒
600	maxri	x_1 は x_2 （品種）のコムギ粒
600	tanko	x_1 は x_2 （種類）のタバコ属植物／葉
600	sobde	x_1 は x_2 （品種）のダイズ粒
600	sorgu	x_1 は x_2 （品種）のモロコシ粒
600	mraji	x_1 は x_2 （品種）のライムギ粒
600	rismi	x_1 は x_2 （品種）の米粒
600	patlu	x_1 は x_2 （種類）のジャガイモ／サトイモ
600	cindu	x_1 はブナ科（樫／オーク）
600	sluni	x_1 は x_2 （種類）のネギ属（ネギ／タマネギ／シャロット）
600	cinki	x_1 は x_2 （種類）の昆虫綱（甲虫／チョウ／ハエ／ハチ／カメムシ／バッタ／トンボ…目）
600	xanto	x_1 は x_2 （種類）のゾウ科動物
600	plise	x_1 は x_2 （種類）のリンゴ属植物
600	manti	x_1 は x_2 （種類）のアリ科
600	danlu	x_1 は x_2 （種類）の動物
600	banfi	x_1 は x_2 （種類）の両性綱／両生類動物
600	curnu	x_1 は x_2 （種類）の無脊椎動物（ミミズ／クラゲ／イカ等）
600	labno	x_1 は x_2 （種類）の狼
600	vidru	x_1 は x_2 （特性）の、 x_3 （対象）に寄生しうる病原体／ウィルス
600	xruki	x_1 は x_2 （種類）のキジ科動物（キジ／シチメンチョウ／ライチョウ）
600	tujli	x_1 は x_2 （種類）のチューリップ属植物
600	tricu	x_1 は x_2 （種類）の木／樹木／立ち木
600	tamca	x_1 は x_2 （種類）のトマト
600	tirxu	x_1 は x_2 （種類）・ x_3 （模様／柄）のトラ／ヒョウ／ジャガー
600	jukni	x_1 は x_2 （種類）のクモ属昆虫
600	since	x_1 は x_2 （種類）のヘビ亜目動物（コブラ／ボア／ニシキヘビ等）
600	lanme	x_1 は x_2 （種類）の x_3 （群れ）のヒツジ属動物
600	rozgu	x_1 は x_2 （種類）のバラ属植物
600	genja	x_1 は x_2 （植物／種類）の根／地下茎
600	respa	x_1 は x_2 （種類）の爬虫綱／爬虫類（カメ／トカゲ／ヘビ／ワニ）
600	ratcu	x_1 は x_2 （種類）のクマネズミ属
600	ractu	x_1 は x_2 （種類）のウサギ目（もく）動物
600	spati	x_1 は x_2 （種類）の植物（草木／葉／花）； x_1 は植物性
600	xarju	x_1 は x_2 （種類）のイノシシ科動物（ブタ／イノシシ等）
600	perli	x_1 は x_2 （種類）のナシ属植物
600	narge	x_1 は x_2 （種類）・ x_3 （殻）・ x_4 （核／仁）の実（み）／堅果
600	smacu	x_1 は x_2 （種類）のハツカネズミ属（マウス等）
600	clika	x_1 は x_2 （類）の、 x_3 （所）に生えるコケ； x_1 はコケで覆われている
600	smani	x_1 は x_2 （種類）の霊長目動物／サル（チンパンジー／オランウータン／ゴリラ／ヒヒ／ヒト／ボノボ等）
600	mledi	x_1 は x_2 （種類）の、 x_3 （寄生先）で育つ菌類
600	guzme	x_1 は x_2 （種類）のウリ科植物（カボチャ／メロン／ズッキーニ等）
600	mabru	x_1 は x_2 （種類）の哺乳綱動物
600	civla	x_1 は x_2 （種類）・ x_3 （寄生対象）のシラミ亜目／ノミ目
600	latna	x_1 は x_2 （種類）のハス属植物
600	cinfo	x_1 は x_2 （種類）のライオン／獅子
600	xirma	x_1 は x_2 （種類）のウマ科動物
600	gunse	x_1 は x_2 （種類）のカモ科動物（カモ／ハクチョウ／ガン等）
600	kanba	x_1 は x_2 （種類）のヤギ属動物
600	grute	x_1 は x_2 （種類）の果実／フルーツ
600	lorxu	x_1 は x_2 （種類）のキツネ属動物
600	sfani	x_1 は x_2 （種類）のハエ目（もく）昆虫
600	finpe	x_1 は x_2 （種類）の魚
600	figre	x_1 は x_2 （種類）のイチジク属植物（ビワ／イチジク／ベンジャミン等）
600	datka	x_1 は x_2 （種類）のアヒル
600	xasli	x_1 は x_2 （種類）のロバ亜属動物
600	gerku	x_1 は x_2 （種類）のイヌ科動物（オオカミ／イエイヌ／コヨーテ／ジャッカル／リカオン／タヌキ／キツネ等）
600	mirli	x_1 は x_2 （種類）のシカ科動物
600	bakni	x_1 は x_2 （種類）のウシ属動物
600	ckunu	x_1 は x_2 （種類）の、 x_3 （球果）が生るマツ属／球果植物（マツ／スギ／ヒノキ／イチイ等）
